DWD - subdaily station information; 81 stations in record   
                                                            
AJ_Kettle  20171124
                                                            
Main program: ds1.f                                         
Subroutine:   export_table_sn1_stnmetadata.f                
                                                            
Notes:                                                      
original_ID: ST_ID (ref1) [a5]                              
alt_asl:     ST_HOEHE (ref1) [i4]; units m                  
Lat:         GEO_BREITE (ref1) [f7.4]; units decimal degrees
Lon:         GEO_LAENGE (ref1) [f7.4]; units decimal degrees
WMO ID:      ST_KE (ref1) [a5]                              
N_days:      number of days of records [i6]                 
N_lines:     number of subday lines [i6]; 3 obs/day         
time stamp:  UTC                                            
ref1:        KL_Standardformate_Beschreibung_Stationen.txt  
A:           most data collection manual; answer pending on 
             if possible to distinguish manual/auto stations
B:           53,55 are reported daily in subdaily file      
             38,44,58,85,106,107 have 3 observations per day
C:           Deutscher Wetterdienst (DWD) & precursors      
D:           Walter Koelschtzky                             
             Head of Central Sales Management               
             Customer Relations Management                  
             Deutscher Wetterdienst                         
             Business Unit Climate and Environment          
             Postbox 10 04 65                               
             D-63004 Offenbach, Germany                     
             Phone: +49 (0)69 8062-4417                     
             Fax:   +49 (0)69 8062-4499                     
             Email: walter.koelschtzky@dwd.de               
                                                            
Index Orig_ alt_asl   Latitude   Longitude  WMO   N_days N_sub  Report time stamp start      Report time stamp end        Man Observed_variables         Ope Con
      ID                                    ID           days   (sub_daily:yyyy-mm-dd-hh-mm) (sub_daily:yyyy-mm-dd-hh-mm) Aut see Note B                 Ins Add
+---+ +---+ +-------+ +--------+ +--------+ +---+ +----+ +----+ +--------------------------+ +--------------------------+ +-+ +------------------------+ +-+ +-+
 1    00003       202    50.7827     6.0941 10501  38440 115320 (sub_daily:1891-01-01-07-05) (sub_daily:2011-03-31-18-00) A   38,44,53,55,58,85,106,107, C   D  
 2    00102        32    53.8617     8.1266 10124   6694  20082 (sub_daily:1998-01-01-06-57) (sub_daily:2017-06-05-18-00) A   38,58,85,106,107,          C   D  
 3    00164        54    53.0316    13.9907 10291  25722  77166 (sub_daily:1947-01-01-06-04) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
 4    00183        42    54.6792    13.4343 10091  25723  77169 (sub_daily:1947-01-01-06-06) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
 5    00232       461    48.4254    10.9420 10852  25722  77166 (sub_daily:1947-01-01-06-46) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
 6    00282       240    49.8742    10.9206 10675  24991  74973 (sub_daily:1949-01-01-06-46) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
 7    00403        51    52.4537    13.3017 10381  24628  73884 (sub_daily:1950-01-01-06-36) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
 8    00430        36    52.5644    13.3088 10382  19879  59637 (sub_daily:1963-01-01-06-36) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
 9    00433        48    52.4675    13.4021 10384  25357  76071 (sub_daily:1948-01-01-06-36) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
10    00691         4    53.0450     8.7979 10224  46236 138708 (sub_daily:1890-01-01-06-54) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
11    00722      1134    51.7986    10.6183 10453  25469  76407 (sub_daily:1947-09-11-06-17) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
12    00880        69    51.7760    14.3168 10496  44315 132945 (sub_daily:1887-01-01-06-32) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
13    00891         5    53.8713     8.7058 10131  26087  78261 (sub_daily:1946-01-01-06-55) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
14    00954         0    54.1796     7.4587 10007   6248  18744 (sub_daily:1998-01-01-07-00) (sub_daily:2017-06-05-18-00) A   38,53,55,58,85,106,107,    C   D  
15    01048       227    51.1280    13.7543 10488  24597  73791 (sub_daily:1935-04-01-06-34) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
16    01078        37    51.2960     6.7686 10400  17507  52521 (sub_daily:1969-07-01-07-02) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
17    01228         0    54.1651     6.3460 10004   5406  16218 (sub_daily:2000-07-01-07-04) (sub_daily:2017-06-05-18-00) A   38,53,58,85,106,107,       C   D  
18    01262       446    48.3477    11.8133 10870   9151  27453 (sub_daily:1992-05-17-06-42) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
19    01270       316    50.9829    10.9608 10554  24263  72789 (sub_daily:1951-01-01-06-16) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
20    01346      1490    47.8749     8.0038 10908  26278  78834 (sub_daily:1945-01-01-06-57) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
21    01358      1213    50.4283    12.9535 10578  25722  77166 (sub_daily:1947-01-01-06-08) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
22    01420       100    50.0259     8.5213 10637  24992  74976 (sub_daily:1949-01-01-06-55) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
23    01468       797    48.4537     8.4091 10815  24465  73395 (sub_daily:1949-01-01-06-56) (sub_daily:2017-06-05-18-00) A   38,44,53,55,58,85,106,107, C   D  
