DWD - daily station information; 81 stations in record      
                                                            
AJ_Kettle  20171204
                                                            
Main program: dd1.f                                         
Subroutine:   export_tab_sn3a_stndata.f                     
                                                            
Notes:                                                      
A:   no formal information in daily files on aut/man status 
B:   44=ppt; 58=sea level pressure; 85=air temperature;     
     107=wind speed                                         
C:   Deutscher Wetterdienst (DWD) & precursors              
D:   Walter Koelschtzky                                     
     Head of Central Sales Management                       
     Customer Relations Management                          
     Deutscher Wetterdienst                                 
     Business Unit Climate and Environment                  
     Postbox 10 04 65                                       
     D-63004 Offenbach, Germany                             
     Phone: +49 (0)69 8062-4417                             
     Fax:   +49 (0)69 8062-4499                             
     Email: walter.koelschtzky@dwd.de                       
                                                            
Index Orig_ alt_asl   Latitude   Longitude  WMO   N_mon  Report time stamp Report time stamp Man Observed_varia Ope Con
      ID                                    ID           (monthly:yyyy-mm) (monthly:yyyy-mm) Aut see Note B     Ins Add
+---+ +---+ +-------+ +--------+ +--------+ +---+ +----+ +---------------+ +---------------+ +-+ +------------- +-+ +-+
 1    00003    202       50.7827     6.0941 10501   1263 (Monthly:1891-01) (Monthly:2011-03)   A 44,58,85,107,  C   D  
 2    00102     32       53.8617     8.1266 10124    179 (Monthly:1998-01) (Monthly:2015-12)   A 58,85,107,     C   D  
 3    00164     54       53.0316    13.9907 10291    828 (Monthly:1947-01) (Monthly:2015-12)   A 44,58,85,107,  C   D  
 4    00183     42       54.6792    13.4343 10091    828 (Monthly:1947-01) (Monthly:2015-12)   A 44,58,85,107,  C   D  
 5    00232    461       48.4254    10.9420 10852    828 (Monthly:1947-01) (Monthly:2015-12)   A 44,58,85,107,  C   D  
 6    00282    240       49.8742    10.9206 10675    804 (Monthly:1949-01) (Monthly:2015-12)   A 44,58,85,107,  C   D  
 7    00403     51       52.4537    13.3017 10381    792 (Monthly:1950-01) (Monthly:2015-12)   A 44,58,85,      C   D  
 8    00430     36       52.5644    13.3088 10382    636 (Monthly:1963-01) (Monthly:2015-12)   A 44,58,85,107,  C   D  
 9    00433     48       52.4675    13.4021 10384    816 (Monthly:1948-01) (Monthly:2015-12)   A 44,58,85,107,  C   D  
10    00691      4       53.0445     8.7985 10224   1501 (Monthly:1890-01) (Monthly:2015-12)   A 44,58,85,107,  C   D  
11    00722   1134       51.7986    10.6183 10453    819 (Monthly:1947-10) (Monthly:2015-12)   A 44,58,85,107,  C   D  
12    00880     69       51.7760    14.3168 10496   1429 (Monthly:1888-11) (Monthly:2015-12)   A 44,58,85,107,  C   D  
